User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",He has helped me to feel comfortable about participating in class. I really like the class,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Iâ€™m appreciate my teacher miss Paoletti, She is amazing ",always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Mr.Dave always has time to answer my question .Always help me understand the subject I don't get.He makes it easy to learn.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.","Me muestra objetos para hacerme mas facil el aprenizaje, y me ayuda si le pido tareas para que yo practique lo que se me hace dificil aprender.",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,I think we need more gramatical exercises,never,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too difficult,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Teacher helps me to understand English and read the words.,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Es muy claro cuando da u tema y resuelve dudas ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",She taught Gramma and conversation.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Me explica de manners atenta los temas que no comprendia,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,"nada, por ahora todo bien",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher has given me confidence to practice my pronunciation in English.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","It would be great if one day a week we could do activities in which we talk about any topic, this will help us to be more trust in our day to day life.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",Mr Butler helps by giving example of how to work math problems step by step in easy to understand concepts.,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Overall Ms Cunningham is an excellent teacher and she takes her time with instructing us.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Speak slowly to understand,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",she answers my question. She really does her best.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",nothing,sometimes,sometimes,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,"El maestro tiene paciencia, lo cual aprecio mucho.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",MÃ­mica y actuar ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","the teacher helps how is the pronunciation.
",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Corrije la pronunciacion. Tiene paciencia con sus estudiantes.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",Nos da tarea para poder seguir estudiando. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.","He always explain to us, when we do not understand.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Explica muy bien y repasa lo visto en todas las clases ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Nos explica cuando no entendemos algo es muy buen maestro ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Citizenship,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Es muy amable,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,The teacher helps to make the books and materials interesting.,"My Dear teacher Marina help me in
1 learning Engligh
2 Reading and writing
3 speaking and listen
4 learning new vocabulary
5 Grammar",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",siempre esta dispuesta a explicar con claridad cuando existe alguna duda.,always,always,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,no - too fast,The teacher helps me understand the materials.,Conversar solo en InglÃ©s.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,My teacher helps me to improve my English from grammar etc ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",He help me a lot to understand everything ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",Very kind and patient. Makes learning fun.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Computer Skills,online,yes,yes,The teacher helps me learn how to use Zoom.,Explains  with illustrations.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"El profesor interactÃºa con los estudiantes realizando preguntas, motiva a leer y escribir en inglÃ©s, presenta videos e imÃ¡genes que son fÃ¡ciles de entender,  es dinÃ¡mico.",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,The teacher helps me understand the materials.,busca maneras diferentes para que tenga una mejor compresion.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,el profesor explica de manera que podamos entender el material que debemos de trabajar.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",She is teaching  good and be patient ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Bridge,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",speaks very clearing when explaining. He also uses his board to show step by step. and he does several examples until the whole class is on target.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,online,yes,yes,The teacher helps to make the books and materials interesting.,The teacher share different topic,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",She helps me with videos.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She helps me with everything. My teacher has created a good educational environment for me.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,no - too fast,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.","Nos deja tarea, nos pone videos con los ejemplos del tema que estemos viendo en ese momento.",always,always,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
EN,Daley College,Computer Skills,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.","My teacher is helpful , every time I have a question the teacher always give me the right answer. ",always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to use Zoom.,Okay ,never,never,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Es atenta y comprensible ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,on campus (in person),yes,yes,The teacher helps me understand the materials.,The teacher goes the the work with us.,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Everything. He helps me a lot to understand the problems in math,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,paciencia ,always,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","new techniques to do math ,",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",Excelente instructora se nota la experiencia como docente. La mejor profesora de ingles q he podido tener,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Mi profesor Daniel Stein me ayuda en facilitarme el aprendizaje con tecnica y conocimientos del plan de estudio que imparte. AdemÃ¡s es empatico, respetuoso y flexible. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",El maestro Leonard Krajkiewicz me apoya a comprender el ingles. Me evalua y retroalimenta para un mejor desempeÃ±o en mi aprendizaje.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,"Utiliza diversas estrategias y mÃ©todos de aprendizaje,esto hace que sea mÃ¡s dinÃ¡mica la clase.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Mi profesor Ernesto ElÃ­as con su clase me ayuda en resolver problemas y tomar desiciones acertivas y creativas. Evalua y retroalimenta el desempeÃ±o de los estudiantes. ,sometimes,sometimes,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","El profesor nos muestra imÃ¡genes,nos formula preguntas,nos pone a leer y a practicar diÃ¡logos en equipo de trabajos ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",En todo respectÃ³ a lo de las materia eso muy bueno para enseÃ±ar su materia ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",encourages,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Me explica algo que no entiendo.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Explicar varias veces el problema y explicarme detalladamente.,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to take tests.",Explicarme detalladamente el tema del que estamos ablando ,always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Tener mucha paciencia ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","answering word problems, the importance in understanding written problems because its all on the test. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,no - too difficult,no - too fast,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",they help me by calmly explaining the material.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),no - too easy,yes,The teacher helps me understand the materials.,"Activities,speaking ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",El es muy paciente y nos enseÃ±a con mucha dedicaciÃ³n y se asegura de que comprendamos ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Me pone ejemplos  para poder en tender la clase.  ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher engages the students throughout the entire length of the course. He also continues to asks ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.",He is good ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",The teacher helps me to speak more fluently.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,online,yes,yes,The teacher helps me understand the materials.,insight into various subjects,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","I repeat it until i understand, and he is a very good teacher, hopefully continue with him.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Manda hacer ejercicios en casa, redacciones prÃ¡cticas relacionadas con ejemplos de clases, practicar en grupos con los compaÃ±eros de clase, solo habla en inglÃ©s y recuerda que solo debemos comunicarnos entre nosotros en inglÃ©s ",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Helped me speak English ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",El maestro me ayuda mucho con las tareas y e aprendido mucho con el.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Explica con detalle. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Exelent ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,Language Arts,online,no - too difficult,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",El maestro me explica  bien las tareas y me ayuda a resolverlas alas que no entiendo como hacerlas. Yo quisiera que el maestro nos diera 2 dias de clases  virtual para aprender mas todavia.,always,always,no,yes,yes,not sure,no,Porque el maestro nos deja tareas y solo en un dia de la semana  podemos entrar al zoom por 1 hora y media para correjir las tareas por eso no estoy de acuerdo con la classes. ,,,,,,,,,,,,
ES,Wright College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Nos ponen en grupos y es muy dinÃ¡mico ,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.",My teacher helps me with my reading and writing skills.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,on campus (in person),no - too difficult,yes,The teacher helps me understand the materials.,The teacher make sure that you understand the topic before going to another topic. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,The teacher makes sure that you understood the topic before going to another topic.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.","Me esplica  con mucha paciencia ,me anima a seguir echarle ganas, bueno las 3 maestras que me an tocado an sido muy buenas   doy gracias al Colegio por darnos la oportunidad de aprender  la maestra me dice que seria bueno me ayudaran con asesorÃ­a  y computaciÃ³n espero estar este proximo semestre poder tomar asesorÃ­a ,English y computadora pues no se nada de tecnologÃ­a   gracias",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Nos deja practicar en.  Casa ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She takes her time and teach. Sheâ€™s very patient and sweet. Iâ€™ve actually learned more from her than any other teacher Iâ€™ve ever had in my life. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",How to take effective notes during class. How to refresh and review weekly assignments through progress work sheets and pop-up quizzes.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",do expierments and take notes and test alot,sometimes,always,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Math,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",Heâ€™s very helpful. He teaches to understand and takes his time to help me correct anything that is wrong. He has very good teaching skills. Math use to be my weakest subject but now Iâ€™m actually very good at it. ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",i still need more help she always did her best to make me understand.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Kennedy-King College,Language Arts,on campus (in person),no - too difficult,yes,"The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Gives us homework
Has us take notes
We do experiments and activities that we have move around
",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Being that we are having class online, it was a bit awkward for me because it just felt like it was just me alone online even though the cameras were on. The teacher, however, found ways to have the students communicate with each other regarding class related activities and now it feels totally different and I can say that I am learning.",always,always,yes,yes,no,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,explica lo que no entendemos.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,no - too easy,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",He teaches us how to pronounce English words correctly and how to use the dictionary.,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She is such an wonderful teacher,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"me ayudo a comprender otro idioma aprendiendo temas importantes para hablarlo, como modales y pharasal.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","He has been helping me with all the information and knowledge that I need, he is an excellent teacher.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",Hi I ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Si no entiendo algo lo repite hasta quedar claro!,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",funny ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Ayuda a mejorar mi vocabulario asi como la gramÃ¡tica en el idioma ingles. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
